Time (Ma),Total ridge length (km),Mean ridge spreading rate (cm/yr),Mean ridge spreading rate SD (cm/yr),Crustal formation rate (km^2/yr),Total subduction zone length (km),Mean trench convergence rate (cm/yr),Mean trench convergence rate SD (cm/year),Crustal subduction rate (km^2/yr),Total transform length (km)
63.0,73.11987869321622,6.3757606979278885,4.822227286495704,4.6687931758527155,70.24296663645487,7.042420734847596,6.269681546147919,4.641588266269209,41.95458338492698
64.0,73.19242371861773,6.707467845388128,4.955473759734645,4.91649583185419,69.78840643913847,7.237083964176591,6.740338323307029,4.795083506756978,44.922440825861116
65.0,76.01435195922993,6.496459601523743,4.929822654708639,4.945015834344254,70.3921358549567,6.892606961784424,6.118573230239831,4.580736017473341,46.161034563458564
66.0,76.84670837067685,6.511122151796956,4.9082202382874005,5.010378269701633,68.76188500600087,7.337495320654332,6.038037435264325,4.556607709619061,46.236660338988244
67.0,80.86083475555714,6.878481783903719,4.674990545499877,5.56958840605406,66.50236355716635,7.441181180241388,5.933634765768789,4.635910069247084,46.313482774510895
68.0,78.96598977783154,6.692681304234855,4.140863364483241,5.2917329703779075,66.23999431868091,7.5557582710458915,6.046646373446905,4.846652782895378,45.63864126984726
69.0,79.08151421420573,6.701078254654252,4.13928539723958,5.306032509189484,66.03845188587607,7.531215259596656,6.080545909226873,4.817669130251939,45.6073240913393
70.0,79.32053153510923,6.638415090019232,4.172909902715143,5.272397660668294,66.14477069889753,7.435616176520803,6.200979498765139,4.763065353087944,45.48801723467748
71.0,80.73876425070394,6.632583408168326,4.194622630392864,5.362018323055748,62.990935305637315,7.338597601355447,6.34535508415504,4.461793905816751,44.975849696945275
72.0,81.7263035521887,6.600498290513325,4.262507138085157,5.403733258821472,59.45312981892559,7.80657879344831,6.3427681251047945,4.47662713086004,43.36694516609754
73.0,81.92067091336763,6.151092255244873,4.082172923923993,5.048020014349186,59.36755762461612,7.618667796876273,6.259998160668968,4.364703639206652,44.07371060234202
74.0,78.18117359700194,5.820344878056887,4.161656089439292,4.5592234435393015,59.19901297298552,7.44713920045355,6.261833672367945,4.200460531962278,47.751942580727906
75.0,76.73835242650092,5.659327705337603,4.022042420422399,4.352518033731535,63.35804135923527,7.163590062758029,6.208763206627397,4.391573974424144,47.79420645976845
76.0,79.56797121785822,5.557726228586832,4.074177945255786,4.431961620770845,66.57325341323639,7.157142192378823,6.732855322215428,4.619266452846437,44.9536093744237
77.0,80.16668207876536,5.5749821508881015,4.096167080073865,4.478902367386793,66.67935031975016,7.15129474409147,7.057630489285918,4.625760510447677,44.57902740802303
78.0,79.52283029027527,5.581104383384788,4.124138035653186,4.448685731586065,66.79501302605661,7.132786735089537,7.094331413121664,4.624275786382005,45.04773716847514
79.0,78.71703486665382,6.060557746865508,4.213354731766147,4.779695990801965,66.91171824701625,7.339285214765394,7.895839417505643,4.771280475706208,45.566618168950534
