Time (Ma),Mean plate velocities (cm/yr),Standard deviation (cm/yr)
1.300000000000000000e+02,3.140735762926523567e+00,2.672311598488146700e+00
1.310000000000000000e+02,3.621597987378795569e+00,2.652713786443472888e+00
1.320000000000000000e+02,3.135693936903330759e+00,2.351753378163147001e+00
1.330000000000000000e+02,2.689978969837016010e+00,2.378535992298371315e+00
1.340000000000000000e+02,2.689449755338473302e+00,2.379100193899314153e+00
1.350000000000000000e+02,2.814844561782216648e+00,2.685147930052536491e+00
1.360000000000000000e+02,2.852405475621158093e+00,2.683685037487104630e+00
1.370000000000000000e+02,2.986572511051892143e+00,2.592181733928673015e+00
1.380000000000000000e+02,2.830509004268569218e+00,2.065578843501143069e+00
1.390000000000000000e+02,3.037068186307806172e+00,3.008281132154007498e+00
1.400000000000000000e+02,3.461586615689756119e+00,3.269861908979320830e+00
1.410000000000000000e+02,3.460964139434743014e+00,3.263199313568016180e+00
1.420000000000000000e+02,3.497543217914830027e+00,3.149052937895817639e+00
1.430000000000000000e+02,3.222680414962950213e+00,1.821195943049132016e+00
1.440000000000000000e+02,3.200444798642778199e+00,1.811938610030812136e+00
1.450000000000000000e+02,2.812985514213730998e+00,1.917031101223392930e+00
1.460000000000000000e+02,2.876577902387905006e+00,1.904894104478117134e+00
1.470000000000000000e+02,3.239653131727155078e+00,1.929542062407920477e+00
1.480000000000000000e+02,3.212369537128741737e+00,1.963348858599067936e+00
1.490000000000000000e+02,3.021122230404125641e+00,1.941140520529938129e+00
1.500000000000000000e+02,2.360083134444364017e+00,1.741647565574188317e+00
1.510000000000000000e+02,2.361896625013059747e+00,1.744962129634594739e+00
1.520000000000000000e+02,2.363180029616134714e+00,1.747629781251531345e+00
1.530000000000000000e+02,2.363106755074393828e+00,1.746463430533549577e+00
1.540000000000000000e+02,2.717852561928808530e+00,1.747931832158441168e+00
1.550000000000000000e+02,2.709031469138456938e+00,1.718497167760658639e+00
1.560000000000000000e+02,2.707511034341454792e+00,1.720314689530612284e+00
1.570000000000000000e+02,2.709464379219955976e+00,1.722653776149760230e+00
1.580000000000000000e+02,2.697665707570149340e+00,1.665613563787853080e+00
1.590000000000000000e+02,2.699370307842237526e+00,1.670745817427065738e+00
1.600000000000000000e+02,2.659164825120805986e+00,1.774011831305138509e+00
1.610000000000000000e+02,2.661753692105474300e+00,1.777420357708705545e+00
1.620000000000000000e+02,2.664342579061580896e+00,1.780837983617294284e+00
1.630000000000000000e+02,2.666929961297253460e+00,1.784266040923552010e+00
1.640000000000000000e+02,2.313673087745272916e+00,1.431589810654366746e+00
1.650000000000000000e+02,2.011736767446217211e+00,1.183588426259662318e+00
1.660000000000000000e+02,2.012136207536087795e+00,1.184171465809758406e+00
1.670000000000000000e+02,2.012530176318387376e+00,1.184757533735480095e+00
1.680000000000000000e+02,2.037778203685524758e+00,1.297693849004861955e+00
1.690000000000000000e+02,2.037825640648267544e+00,1.298068200066823108e+00
1.700000000000000000e+02,2.308290952151899500e+00,1.901541258417990488e+00
1.710000000000000000e+02,2.307715927060682404e+00,1.901516520729379378e+00
1.720000000000000000e+02,2.307142876061255787e+00,1.901490618304011671e+00
1.730000000000000000e+02,2.306571813133873938e+00,1.901463614464527829e+00
1.740000000000000000e+02,2.306002754765718255e+00,1.901435568694353151e+00
1.750000000000000000e+02,2.354706695264911609e+00,1.863338094173575765e+00
1.760000000000000000e+02,2.354093134256929787e+00,1.863289467512184716e+00
1.770000000000000000e+02,1.904523482804191703e+00,1.923045799677297607e+00
1.780000000000000000e+02,1.904192469173616953e+00,1.922949211955375715e+00
1.790000000000000000e+02,1.903865796069552641e+00,1.922853905958836318e+00
1.800000000000000000e+02,1.315351711022480607e+00,1.476411144800646724e+00
1.810000000000000000e+02,1.314731091069441415e+00,1.474819762472734164e+00
1.820000000000000000e+02,1.314168827196150691e+00,1.473564531198699346e+00
1.830000000000000000e+02,1.313668897948885306e+00,1.472645758393134940e+00
1.840000000000000000e+02,1.313234895497443322e+00,1.472062650873091849e+00
1.850000000000000000e+02,1.339631381935383336e+00,1.471932613417603841e+00
1.860000000000000000e+02,1.339336130485542231e+00,1.471974008742020334e+00
1.870000000000000000e+02,1.339112933837243613e+00,1.472342929588534410e+00
1.880000000000000000e+02,1.338961623616507834e+00,1.473036154717714430e+00
1.890000000000000000e+02,1.338880678519229983e+00,1.474050288607273940e+00
1.900000000000000000e+02,1.841919827838203183e+00,1.073472961372003764e+00
1.910000000000000000e+02,1.842156528682182159e+00,1.073440353681855086e+00
1.920000000000000000e+02,1.842392864802597785e+00,1.073394169689125821e+00
1.930000000000000000e+02,1.842636092958241489e+00,1.073363944826202232e+00
1.940000000000000000e+02,1.842886928782813127e+00,1.073348784580223647e+00
1.950000000000000000e+02,1.825034405707304908e+00,1.063784740569563958e+00
1.960000000000000000e+02,1.825299471054639744e+00,1.063801820995898595e+00
1.970000000000000000e+02,1.825574511654890264e+00,1.063831388869101335e+00
1.980000000000000000e+02,1.825859111264047652e+00,1.063874475911616990e+00
1.990000000000000000e+02,1.826152439157150198e+00,1.063932814708168806e+00
2.000000000000000000e+02,3.159251560363650402e+00,1.184417499772046911e+00
2.010000000000000000e+02,3.163835721660524403e+00,1.188280656186439854e+00
2.020000000000000000e+02,3.163222858504805668e+00,1.185311936778389974e+00
2.030000000000000000e+02,3.162689519668615112e+00,1.182573629307850815e+00
2.040000000000000000e+02,3.162239370594454702e+00,1.180054496400534836e+00
2.050000000000000000e+02,3.216959971694681286e+00,1.165443616268256433e+00
2.060000000000000000e+02,3.216649846634342946e+00,1.163308899350509851e+00
2.070000000000000000e+02,3.216424897042991837e+00,1.161373075829308599e+00
2.080000000000000000e+02,3.216282510635795511e+00,1.159639642242821234e+00
2.090000000000000000e+02,3.216221096820162551e+00,1.158108808482298357e+00
2.100000000000000000e+02,3.778512104395445714e+00,1.257785380177081080e+00
2.110000000000000000e+02,3.778541466465624055e+00,1.256132313036146586e+00
2.120000000000000000e+02,3.778644144771338365e+00,1.254678315349197604e+00
2.130000000000000000e+02,3.778818290047547546e+00,1.253421205263309579e+00
2.140000000000000000e+02,3.779062043594626719e+00,1.252358381990232639e+00
2.150000000000000000e+02,3.849574389364982974e+00,1.235026814382685689e+00
2.160000000000000000e+02,3.849926660453008687e+00,1.234282678332947247e+00
2.170000000000000000e+02,3.850343289764780685e+00,1.233714789911916521e+00
2.180000000000000000e+02,3.850822127078354917e+00,1.233320414272682131e+00
2.190000000000000000e+02,3.851361219499550792e+00,1.233096909066830227e+00
2.200000000000000000e+02,2.812092644848376288e+00,1.263076528858929626e+00
2.210000000000000000e+02,2.812927760246241693e+00,1.265334866075439102e+00
2.220000000000000000e+02,2.813814501566137327e+00,1.267788767307162168e+00
2.230000000000000000e+02,2.814750402056325651e+00,1.270433762591293370e+00
2.240000000000000000e+02,2.815732928968011972e+00,1.273265302615178118e+00
2.250000000000000000e+02,2.866904058038688419e+00,1.255973584812390298e+00
2.260000000000000000e+02,2.867989454598352861e+00,1.259112479496838910e+00
2.270000000000000000e+02,2.869114033537910391e+00,1.262421364326051565e+00
2.280000000000000000e+02,2.870275199578118830e+00,1.265895631933828591e+00
2.290000000000000000e+02,2.871470379542713669e+00,1.269530535537831462e+00
2.300000000000000000e+02,3.394695980135126856e+00,2.463946580547113907e+00
2.310000000000000000e+02,3.395679728987557766e+00,2.465031640234054411e+00
2.320000000000000000e+02,3.396679657405362818e+00,2.466256617399515072e+00
2.330000000000000000e+02,3.397694637255519456e+00,2.467619814189942584e+00
2.340000000000000000e+02,3.398723307757287149e+00,2.469118904198990272e+00
2.350000000000000000e+02,3.502328845981530492e+00,2.417570697991214157e+00
2.360000000000000000e+02,3.503121972368729242e+00,2.419125349359293242e+00
2.370000000000000000e+02,3.503924625666932080e+00,2.420808365850271926e+00
2.380000000000000000e+02,3.504735437925631469e+00,2.422616938182530877e+00
2.390000000000000000e+02,3.505553024767813053e+00,2.424548099732916739e+00
2.400000000000000000e+02,3.328351668880785486e+00,2.398465897436663052e+00
2.410000000000000000e+02,3.328379612880822069e+00,2.397415100121799370e+00
2.420000000000000000e+02,3.328409212412648976e+00,2.396416396594882592e+00
2.430000000000000000e+02,3.328439279814770391e+00,2.395466829230085803e+00
2.440000000000000000e+02,3.328468634566460693e+00,2.394563357162028172e+00
2.450000000000000000e+02,3.357781379104442188e+00,2.623325593647232612e+00
2.460000000000000000e+02,3.357986008972239755e+00,2.625230400800667940e+00
2.470000000000000000e+02,3.358185534626584090e+00,2.627170050410443825e+00
2.480000000000000000e+02,3.358378806858353993e+00,2.629140968748052032e+00
2.490000000000000000e+02,3.403475992878614687e+00,2.697605182391887624e+00
2.500000000000000000e+02,9.985231745118201552e-01,1.356026242911568813e+00
