Time (Ma),Total ridge length (km),Mean ridge spreading rate (cm/yr),Mean ridge spreading rate SD (cm/yr),Crustal formation rate (km^2/yr),Total subduction zone length (km),Mean trench convergence rate (cm/yr),Mean trench convergence rate SD (cm/year),Crustal subduction rate (km^2/yr),Total transform length (km)
30.0,70.22090153250699,5.734687632125833,4.483833917446063,4.03117543932997,68.63694112159968,5.306255565658885,4.051213544296775,3.6029053594257467,35.20334910765636
31.0,64.67697310191565,5.5509902468919226,4.29717831638994,3.594080252925641,69.64698352582023,5.149730245140464,4.058430919447717,3.5489917571879697,34.976696955165615
32.0,65.68689980126811,5.470686615463129,4.309393111707357,3.597307774820609,69.90540895841443,5.196426307488548,4.067328465754185,3.5927234961893153,34.52197253579434
33.0,68.85055440242147,5.03642461402243,4.300209553571445,3.470815741828435,70.06679667802985,4.866521244428725,4.20462677906031,3.3714324332679686,34.133054909991515
34.0,66.36557819274593,5.206282520196563,4.412150542712143,3.4562931446938947,74.66362710679488,4.907184103616902,4.419715481376188,3.574961507520208,38.27341728133462
35.0,71.08276166728254,5.738808318872838,4.7124229815165775,4.080494930350494,76.24325310361617,5.476810391895709,4.696719107491705,4.112347508261728,39.34263672412606
36.0,67.7384922666318,5.289408868215107,4.381457472439312,3.583293778947022,75.78014310423143,5.33140374074415,4.645999112081755,4.0198716907562515,39.42637052126651
37.0,67.09845135460293,5.181182216932674,4.299680715552556,3.4769865441699883,74.17876643630207,5.290747347585242,4.606828743344591,3.904091108711286,38.92866877204741
38.0,68.15996902422341,5.25357474915883,4.37059352576432,3.5815248109018336,73.99139695635627,5.193071462285902,4.601679478902457,3.8216673438714897,38.324555098227364
39.0,68.07188668834029,5.154588046708903,4.369025520757611,3.5094377607440745,73.8230971675624,5.138280047179315,4.630056584229263,3.772657689979881,38.02372779003615
40.0,66.40197896764273,4.912853114819838,4.475731062588474,3.2631359634502046,70.83378199796195,5.096728903893168,4.793922296758476,3.589107178164363,38.86350317826882
41.0,61.748265629191245,5.235655533518595,4.52928296739547,3.2372467068742763,66.36698915994735,5.482704354548005,4.843562340469607,3.640886076857162,37.36679014878635
42.0,61.45934169137192,5.3121596936349,4.548135119852752,3.2690313546406498,66.18871539017022,5.525781986827547,4.871653116118336,3.659992136593607,37.674494797838136
43.0,61.139661560654815,5.252524477563479,4.352841203076692,3.2153586646396524,68.62115306123087,5.119835344308013,4.762436614818326,3.515237839317636,37.72499842811553
44.0,60.83820368971384,5.127313796947892,4.002835827310305,3.123820415169349,68.38358592199496,4.8694231670958175,4.566999280260735,3.331596231232757,44.07576656971525
45.0,60.809663171098656,5.297291441668239,4.000670366812017,3.225821114684823,71.02801409389106,4.602360851695337,3.7669887845243464,3.2705938082178077,45.38752064700861
46.0,62.19397651138962,5.181335455575653,3.6300235835302788,3.2267702494654382,71.07693408265175,4.631751672873374,3.5948551110895557,3.2940775566540577,44.92213554514456
47.0,62.17521312455406,5.201382111080263,3.531080084401059,3.237888721384151,70.93608428577413,4.555804637894024,3.638019380957365,3.2338603740477203,44.47221544198789
48.0,63.40708938298328,6.123612075472026,3.8846360657763923,3.886460231954939,72.82141300627579,5.09758115138599,4.530433234963171,3.7144795060115157,39.27365536320075
49.0,63.44948087729025,6.099746105681692,3.8499036298961316,3.8737803557470722,71.98490599619059,5.150428177949197,4.559068738136607,3.6773613894970145,38.104659541532946
50.0,62.91247011469129,6.133600448489989,4.231401925414233,3.8609553459338035,72.07383330693878,5.201834691093034,4.801042823559598,3.7191057989275644,38.62230497203503
51.0,64.21937617533126,6.146159012320099,4.295505480489328,3.9491580422605566,69.90847249512157,5.297108850009995,4.8478405538905776,3.7027983001051687,36.927829014847205
52.0,70.83903649088768,5.960962517780392,4.4292394166542755,4.224939339680445,76.4707008752301,5.195725843388487,4.962554699598151,3.963528926150807,42.81824968581925
53.0,70.37811672259977,6.338312399989954,4.546768042402558,4.463731505579852,76.08795895363757,5.320512019786775,5.087882240836316,4.047500618400967,43.19277907305311
54.0,70.21246967738675,6.527618563511292,4.79989365869077,4.586363849397038,76.2158617452508,5.441160037507496,5.258909522344804,4.143534981751571,43.43551004418479
55.0,70.48254053934835,6.446513012713327,4.714286298502022,4.546937614115278,76.50584334465697,5.583126523093257,5.511283415810038,4.261977580249549,43.25994302529
56.0,71.09290377876853,5.616673878983416,4.087749816771249,3.995728495428097,71.10073090753816,5.6427314487337465,4.79630564798696,3.9468308797061935,46.42409195941645
57.0,71.62581459201546,5.593474628054444,4.063959398291444,4.00871761131605,70.85463266946701,5.697876036379266,4.955097006095987,3.9992736025094024,46.31006512450888
58.0,67.72755781145202,5.351901027757021,4.027983797613584,3.627605073820615,72.60297835574738,5.368481858904986,5.121159666725754,3.897793745683999,45.70896991138909
59.0,68.97846157843826,5.440868365148154,4.116675596015648,3.75604143879383,72.46274354445559,5.39921570152824,5.30213907375863,3.9101858034464163,45.66899257414656
60.0,69.22391050778059,5.5170509324292745,4.198116555120427,3.822406547617983,72.43098468738906,5.510798799540911,5.44851761957437,3.9881939899646826,45.88729410203089
61.0,65.50140901764507,5.501237944583492,4.3112252354784895,3.6072068111963738,72.28775498509867,5.6659156124060175,5.655394608890614,4.096634011876311,45.28700610738285
62.0,64.23797365341134,6.079490283296886,4.909900819066781,3.9094957314827057,72.41446203035665,6.07604108929209,6.0423628592255705,4.401569906849291,42.988886605552175
63.0,64.14718452280526,6.249514904743771,4.849288853449491,4.012995253765827,71.39145052084537,6.340198591679544,6.203585796114279,4.528756717808237,42.82169008067268
64.0,65.36122678449716,6.606336542997466,4.953007584481802,4.322660483311882,71.49269365658647,6.820697007055171,6.769429838728899,4.879650730432236,44.386918613189984
65.0,66.68822451082653,6.742827092953073,4.947227330735456,4.5014935209249645,71.32427858772405,6.574396330294436,6.029211220231226,4.692025297720032,43.6059854659831
66.0,68.6767639719291,6.692981808614447,4.91292888690955,4.600961239959292,63.290412283740835,6.7350348475867,5.952965697001705,4.2650685110298445,43.772124099365385
67.0,69.2586176628419,6.653693281325053,4.486367095904356,4.6129268929753255,63.07894729198005,6.875071549813476,5.911565237613895,4.333242900638351,43.64295557464336
68.0,74.34547914830075,6.568790838584047,4.070232193297565,4.888307573960165,64.7119018708777,6.717668526751935,6.006352858950145,4.314954832617897,42.93396475948595
69.0,75.09319165582586,6.557832506567372,4.101451771549092,4.929273963268337,64.70032307774366,6.692726687783507,6.007991897192473,4.32929440059023,42.57067279219879
70.0,74.76579676474338,6.591256628169329,4.104177130815724,4.932725974629842,64.77833543972203,6.696433784454365,6.032690836791108,4.340680509561277,42.36278688112395
71.0,74.94363661122001,6.63028936139303,4.112228595421713,4.973900648059019,65.08673833470137,6.667486977058901,6.174640766266533,4.342640599709302,42.10495188472821
72.0,74.85843682644878,6.676821151589096,4.126654531453491,5.003299506715237,64.45741456363054,6.711785856877303,6.2541979310519125,4.3292775799748355,42.344507460407144
73.0,73.07028757217763,6.34922687731006,3.926944365950898,4.644182813278698,64.49325125456296,6.560374343346492,6.174329597524788,4.234182081752236,43.57422301369978
74.0,68.76171032207971,6.226631440347781,3.9072609445840003,4.284804633804923,64.50470797843144,6.3722108956041925,6.160830755758221,4.113177632636109,47.12816322618275
